area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
COQUIMBO,CHILE,16.0,181.383154,n,22.0,-29.963758,COQUIMBO (WM457),-71.332308,54.0,9.0,True,89,32.9,1,8.3,4,True,10,2015,6.88237,8.009683,9.0,22.0,21.0,s
CA,USA,27.0,9144.46884,n,6.0,34.15,"PORT HUENEME, CA",-119.18,34.0,2.0,True,88,11.5,1,8.8,4,True,1,2010,7.2,8.5,9.0,22.0,7.0,s
IWATE,JAPAN,11.0,124.245659,n,5.0,39.355389,"IWATE PREFECTURE, TOHOKU REGION",141.90775,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,4.0,l
KAGOSHIMA,JAPAN,1.0,521.246533,n,0.0,28.383,NAZE,129.5,42.0,4.0,True,85,4.2,1,7.5,4,True,2,1968,6.88237,7.5,7.0,30.0,4.0,s
AK,USA,28.0,1134.576254,n,3.0,55.06,"ANNETTE, AK",-131.54,36.0,3.0,True,87,16.0,3,9.2,4,True,1,1964,6.88237,8.4,10.0,25.0,7.0,s
SHIZUOKA,JAPAN,7.0,172.181606,n,4.0,34.733,MATSUZAKI CITY,138.75,35.0,12.0,True,85,27.396394,1,8.1,4,True,1,1944,6.88237,8.0,8.530885,30.0,38.0,m
COQUIMBO,CHILE,16.0,178.743713,n,22.0,-29.984123,LA HERRADURA,-71.357152,54.0,9.0,True,89,32.9,1,8.3,4,True,5,2015,6.88237,8.009683,9.0,22.0,11.0,m
MAULE,CHILE,27.0,93.574242,n,6.0,-35.35948,CONSTITUCION,-72.45605,34.0,2.0,True,89,11.5,1,8.8,4,True,4,2010,7.2,8.5,9.0,22.0,14.0,l
MIYAGI,THAILAND,26.0,633.936936,n,0.0,8.57,TAP LAM NAVY BASE,98.224,58.0,12.0,True,60,53.5,1,9.1,4,True,5,2004,7.0,8.8,8.530885,30.0,8.0,m
AICHI,JAPAN,5.0,188.789139,n,14.0,34.883,TAKETOYO,136.95,57.0,9.0,True,85,18.6,1,7.4,4,True,2,2004,6.2,7.1,8.530885,10.0,7.0,s
